request_symbol,name,start_date,asset_class_refined,management_style,primary_strategy,sector_theme,cagr,spy_cagr,excess_cagr,sortino,spy_sortino,excess_sortino,calmar,spy_calmar,excess_calmar,martin,spy_martin,excess_martin,direction,spy_direction,breadth,spy_breadth,dbf_signed,spy_dbf_signed,excess_dbf_signed,dbf,spy_dbf,beat_spy_dbf_signed,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,beat_spy_all_four,joint_excess_score
BOAT,SonicShares Global Shipping ETF,2021-08-04,equity,index_passive_identified,sector_or_industry,industrials_transport,0.2824983972297219,0.1318677475900547,0.1506306496396672,1.6235128969341508,1.1805839365963668,0.44292896033778395,0.8323335961011905,0.5383150513258994,0.2940185447752911,2.3738470631760404,1.5737124327200362,0.8001346304560042,0.08236503251647384,0.06477746585962701,0.5753860393983403,0.5014908164829315,0.0473916898445694,0.03248530424363957,0.014906385600929828,0.0473916898445694,0.03248530424363957,True,1.934890986937826,0.23585619376018463,0.13541450038575992,1.7417351397988623,0.5549355482509875,0.09070371502850283,0.09341974803637712,0.9709265646186855,True,0.7708085751801768,True,True,True,0.982793017456359
CLSE,Convergence Long/Short Equity ETF,2022-02-22,alternatives,active_identified,long_short_market_neutral,not_sector_specific,0.20313448314621674,0.1529112180369483,0.050223265109268445,2.026854843484932,1.33210886697911,0.6947459765058219,1.2352219433074485,0.6920673003434886,0.5431546429639599,4.044982449202576,2.0757504771351747,1.969231972067401,0.11106043908024178,0.07393784262315792,0.5789471972658564,0.4937884386342834,0.06429812993262136,0.036509651864876515,0.02778847806774485,0.06429812993262136,0.036509651864876515,True,0.9156655179402011,0.15426419575517225,0.05855166502851986,2.634667958290031,0.5790971517288075,0.10608095645680748,0.08231878721724098,1.2886603416162783,True,1.346007616673753,True,True,True,0.9860349127182044
QTUM,Defiance Quantum ETF,2018-09-05,equity,index_passive_identified,other_equity,not_sector_specific,0.2608491946810101,0.14771756373963818,0.11313163094137191,1.4130548870271598,1.1445265400245548,0.268528347002605,0.6784353713777718,0.43810688629607036,0.2403284850817014,2.1741614193931342,1.873838667649363,0.3003227517437712,0.07284024757149501,0.06804317816176046,0.5226917347637499,0.43284765232244204,0.038072995363765745,0.029452329923875673,0.008620665439890072,0.038072995363765745,0.029452329923875673,True,4.115025324268282,0.2264066241804641,0.1278646996647356,1.7706734131789919,1.4117257699297712,0.11636540578880683,0.08583393677077378,1.3557039344422674,True,0.4149694787367244,True,True,True,0.9723192019950124
IAUM,iShares Gold Trust Micro Shares,2021-07-01,commodity,static_exposure_or_trust,precious_metals,not_sector_specific,0.19263117851573885,0.1336483566039286,0.05898282191181026,1.497766473694906,1.199919019213211,0.2978474544816949,0.7322706820752168,0.5455839146394273,0.1866867674357895,2.2196184479751353,1.6091200886959167,0.6104983592792186,0.08470296131409652,0.06590168417753864,0.5034332628624538,0.5023567629840889,0.04264228818846781,0.03310615673862806,0.009536131449839752,0.04264228818846781,0.03310615673862806,True,1.0618688666041751,0.15000262159502764,0.09735610875308481,1.5407622954145102,0.5856769870801697,0.09312803953683346,0.09259634235017918,1.0057420970759678,True,0.5350201983385423,True,True,True,0.9773067331670824
USG,USCF Gold Strategy Plus Income Fund,2021-11-03,commodity,non_index_management_identified,precious_metals,not_sector_specific,0.1681885934809484,0.1250254975559011,0.0431630959250473,1.4538266505117685,1.11715439953974,0.3366722509720286,0.6764642946768149,0.5103833830777202,0.16608091159909466,2.1843752656144395,1.4564401753895118,0.7279350902249277,0.08633592341612203,0.06075241899794293,0.4763969404003915,0.501666301031583,0.04113016976208305,0.030477441317418905,0.010652728444664146,0.04113016976208305,0.030477441317418905,True,0.7568125599821154,0.12360558297864332,0.0884572811616446,1.3973477519930735,0.46442773503720036,0.0820897730908654,0.09573249272006873,0.8574912316438267,True,0.5398565203492468,True,True,True,0.9770573566084788
CGDV,Capital Group Dividend Value ETF,2022-02-24,equity,active_identified,dividend_or_income,not_sector_specific,0.1874250926213139,0.15386435574419122,0.03356073687712269,1.771931898274405,1.3416499164910365,0.4302819817833685,0.8592000758968855,0.6963811463017875,0.16281892959509803,3.3130111148375074,2.086909200273513,1.2261019145639946,0.09900765873946028,0.07455812358152718,0.5098996352374474,0.492919186858662,0.05048396907696447,0.036751129649514006,0.013732839427450468,0.05048396907696447,0.036751129649514006,True,0.8032211957463515,0.13913687169574196,0.06179355872720101,2.2516403742012523,0.5837865850639701,0.10694092682682066,0.08238942870838711,1.2979933045212904,True,0.9536470696799619,True,True,True,0.9798004987531173
PVAL,Putnam Focused Large Cap Value ETF,2021-05-26,equity,active_identified,factor_or_style,not_sector_specific,0.16841682067070596,0.13744698244648923,0.030969838224216728,1.6187031660519071,1.236308979727142,0.3823941863247651,1.0118430530306954,0.5610907956074926,0.4507522574232028,3.7763025457770376,1.6706192280550123,2.1056833177220255,0.08920150439285018,0.0683283774932142,0.5356036033065317,0.49959518317190643,0.047776647173173974,0.03413652826956152,0.013640118903612455,0.047776647173173974,0.03413652826956152,True,0.8826485217941258,0.1274040982518292,0.049526883673239666,2.5724230721317944,0.6338669512917436,0.09752133559514675,0.09172196614237546,1.0632277053870522,True,1.5091953667447422,True,True,True,0.9812967581047382
DFIV,Dimensional International Value ETF,2021-09-13,equity,active_identified,factor_or_style,not_sector_specific,0.16357206189695894,0.1310492324462229,0.032522829450736035,1.460369987822868,1.1660837274835976,0.2942862603392704,0.6435423529737133,0.5349736806745055,0.10856867229920786,2.4181632870455108,1.5486486973642548,0.869514589681256,0.07916673192829993,0.06368842798956811,0.5404255636319905,0.5036454913223002,0.04278372572325418,0.032076389606350966,0.010707336116903214,0.04278372572325418,0.032076389606350966,True,0.7601466736767863,0.12036302311958935,0.07401920817230324,1.6261052514829144,0.5286234600515769,0.08904792307806231,0.09435781576194255,0.943725989829219,True,0.6823792616536954,True,True,True,0.9758104738154614
FLTW,Franklin FTSE Taiwan ETF,2017-12-18,equity,index_passive_identified,other_equity,not_sector_specific,0.20994700786112008,0.14571969994894873,0.06422730791217135,1.3541715903453722,1.1448540990692575,0.20931749127611465,0.5525275757153393,0.43218153888020483,0.12034603683513445,1.788820763222849,1.9018321595457293,-0.11301139632288026,0.07690918585209544,0.06841807860873379,0.47338635218752245,0.4336949669403741,0.03640775894023567,0.02967257634033872,0.006735182599896951,0.03640775894023567,0.02967257634033872,True,3.16505538741431,0.17793822480068622,0.13058394911483415,1.362634734259792,1.5897075106340712,0.11541003094240265,0.08336424104623642,1.384406905094867,False,-0.0217721708350751,False,False,False,0.9206982543640898
GARP,iShares MSCI USA Quality GARP ETF,2020-01-16,equity,index_passive_identified,factor_or_style,not_sector_specific,0.207422963822542,0.1517746396561308,0.05564832416641119,1.3042823190615718,1.1380510339342282,0.16623128512734353,0.6619339617635006,0.4501395305683128,0.21179443119518782,1.9015890864036813,1.8195930869657637,0.08199599943791758,0.07025418793435088,0.06715967454928892,0.5041385870622439,0.43163828228184214,0.035417847040428996,0.028988686561062623,0.006429160479366373,0.035417847040428996,0.028988686561062623,True,1.8820789867535392,0.1729944723552479,0.1163640199116412,1.4866663465786756,1.1074803600758463,0.11893290602858086,0.09098885132521796,1.30711514978339,True,0.17955119679528564,True,True,True,0.9541147132169576
