evidence_bucket,n,beat_spy_cagr,beat_spy_martin,beat_spy_rwm_score,beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,beat_spy_all_four,rate_all_four
concentrated_equity_beta,567,85,58,57,32,26,17,0.029982363315696647
other_or_unresolved,427,42,23,22,16,14,11,0.02576112412177986
non_index_management,273,23,48,26,10,9,9,0.03296703296703297
fixed_income_beta,252,0,21,0,0,0,0,0.0
intentional_management,217,22,40,25,13,12,9,0.041474654377880185
other_asset_beta,134,5,1,0,0,0,0,0.0
broad_market_beta,65,21,17,21,15,13,9,0.13846153846153847
systematic_static_beta,33,1,3,2,1,1,1,0.030303030303030304
static_exposure,26,5,2,2,2,2,2,0.07692307692307693
mixed_mandate_not_attributed,11,0,1,1,0,0,0,0.0
