dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
asset_class_refined,equity,1358,1305,53,-0.03795263510461655,-0.7405038026724184,195,0.14359351988217967,124,0.09131075110456553,179,0.13181148748159058,157,0.11561119293078057,153,0.11266568483063329,87,0.06406480117820323,75,0.05522827687776141,53,0.0390279823269514
asset_class_refined,fixed_income,412,400,12,-0.12163689060323668,-1.4072496654728162,0,0.0,59,0.14320388349514562,40,0.0970873786407767,48,0.11650485436893204,0,0.0,0,0.0,0,0.0,0,0.0
asset_class_refined,commodity,105,105,0,-0.07742390191264126,-1.310326776856177,12,0.11428571428571428,9,0.08571428571428572,11,0.10476190476190476,4,0.0380952380952381,4,0.0380952380952381,4,0.0380952380952381,4,0.0380952380952381,4,0.0380952380952381
asset_class_refined,currency,47,46,1,-0.05869792532812812,-0.8268225263105454,0,0.0,1,0.02127659574468085,2,0.0425531914893617,1,0.02127659574468085,0,0.0,0,0.0,0,0.0,0,0.0
asset_class_refined,real_estate,41,40,1,-0.08394963217374984,-1.4908095446969258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
asset_class_refined,alternatives,26,26,0,-0.08398911612156723,-1.2519942444452032,2,0.07692307692307693,6,0.23076923076923078,7,0.2692307692307692,6,0.23076923076923078,4,0.15384615384615385,2,0.07692307692307693,2,0.07692307692307693,2,0.07692307692307693
asset_class_refined,multi_asset,16,16,0,-0.0767650912795097,-0.9069690841588778,0,0.0,0,0.0,2,0.125,1,0.0625,0,0.0,0,0.0,0,0.0,0,0.0
asset_class_refined,crypto,11,11,0,-0.10975976912071905,-1.5679213864893908,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
asset_class_refined,unknown,7,7,0,-0.08436793959698963,-1.1143400353881354,1,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
management_style,not_determined,1018,978,40,-0.08029863718806052,-1.087810703094462,94,0.09233791748526522,116,0.11394891944990176,123,0.12082514734774066,103,0.10117878192534381,66,0.06483300589390963,33,0.03241650294695481,27,0.026522593320235755,22,0.021611001964636542
management_style,systematic_or_rules_based,464,447,17,-0.03560673408073722,-0.6104028004576916,52,0.11206896551724138,32,0.06896551724137931,48,0.10344827586206896,60,0.12931034482758622,52,0.11206896551724138,24,0.05172413793103448,23,0.04956896551724138,15,0.032327586206896554
management_style,index_passive_identified,413,404,9,-0.052330173864807206,-0.857470109140019,53,0.12832929782082325,34,0.08232445520581114,50,0.12106537530266344,32,0.0774818401937046,30,0.07263922518159806,27,0.06537530266343826,23,0.05569007263922518,16,0.0387409200968523
management_style,active_identified,128,127,1,-0.05860359889762079,-0.9025354068047533,14,0.109375,19,0.1484375,21,0.1640625,22,0.171875,13,0.1015625,9,0.0703125,8,0.0625,6,0.046875
exposure_type,other_equity,589,564,25,-0.04850757034869391,-0.8349373523669583,64,0.10865874363327674,54,0.09168081494057725,74,0.12563667232597622,62,0.10526315789473684,56,0.09507640067911714,29,0.04923599320882852,26,0.044142614601018676,19,0.03225806451612903
exposure_type,factor_style_or_income,383,369,14,-0.03500255165458399,-0.6261551608592801,40,0.10443864229765012,30,0.0783289817232376,39,0.10182767624020887,49,0.1279373368146214,41,0.10704960835509138,20,0.05221932114882506,19,0.04960835509138381,13,0.033942558746736295
exposure_type,sector_or_industry,243,240,3,-0.03159198843750066,-0.752911621850578,55,0.22633744855967078,24,0.09876543209876543,42,0.1728395061728395,28,0.11522633744855967,32,0.13168724279835392,20,0.0823045267489712,16,0.06584362139917696,11,0.04526748971193416
exposure_type,corporate_bonds,76,72,4,-0.12418567137603098,-1.626596317323958,0,0.0,7,0.09210526315789473,2,0.02631578947368421,3,0.039473684210526314,0,0.0,0,0.0,0,0.0,0,0.0
