request_symbol,name,primary_strategy,start_date,end_date,rolling_windows,rate_beat_cagr,rate_beat_martin,rate_beat_rwm_score,rate_beat_cagr_and_rwm,rate_beat_both,median_excess_cagr,median_excess_martin,minimum_excess_cagr,minimum_excess_martin,minimum_excess_rwm_score
CGUS,Capital Group Core Equity ETF,other_equity,2022-02-24,2026-09-04,19,0.8947368421052632,1.0,1.0,0.8947368421052632,0.8947368421052632,0.0075630260077124145,0.4654305128239349,-0.0017757195962337935,0.10967665428792905,0.047409985257877096
CGDV,Capital Group Dividend Value ETF,dividend_or_income,2022-02-24,2026-09-04,19,1.0,1.0,1.0,1.0,1.0,0.0322991159970587,2.647094096270476,0.018936647914600258,0.907330375846062,0.6704790137100474
TSPA,T. Rowe Price U.S. Equity Research ETF,other_equity,2021-06-14,2026-09-04,27,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.011672833366954016,0.13433124945914265,0.002860559728598,-0.1340739143155414,-0.07105883043279704
CLSE,Convergence Long/Short Equity ETF,long_short_market_neutral,2022-02-22,2026-09-04,19,0.8421052631578947,0.9473684210526315,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.017681337479037218,1.3068587880578986,-0.004970567782295987,-0.2035553979078628,-0.36718909180747605
PVAL,Putnam Focused Large Cap Value ETF,factor_or_style,2021-05-26,2026-09-04,28,0.75,0.8928571428571429,0.8214285714285714,0.75,0.75,0.016368776184261136,1.2923471434600549,-0.03199560553231828,-0.5063803251472416,-0.7785993899082211
FFLC,Fidelity Fundamental Large Cap Core ETF,factor_or_style,2020-06-05,2026-09-04,39,0.9743589743589743,0.7692307692307693,0.7948717948717948,0.7948717948717948,0.7692307692307693,0.0478108857667483,1.9745841047380426,-0.0031356876356307684,-0.45387118611492383,-0.35236279554798955
DFIV,Dimensional International Value ETF,factor_or_style,2021-09-13,2026-09-04,24,0.625,0.75,0.7083333333333334,0.625,0.625,0.007902656753805526,0.7459541688452198,-0.051124950358229615,-0.5709653311812439,-0.4832609494004617
DIVO,Amplify CWP Enhanced Dividend Income ETF,dividend_or_income,2016-12-15,2026-09-04,81,0.07407407407407407,0.8024691358024691,0.654320987654321,0.07407407407407407,0.07407407407407407,-0.021105428798204207,0.34936753107854157,-0.09186920690107958,-1.16698530517104,-1.802104760015197
PWRD,TCW Transform Systems ETF,other_equity,2022-02-03,2026-09-04,19,1.0,0.42105263157894735,0.631578947368421,0.631578947368421,0.42105263157894735,0.0595440453208671,-0.38223625403167816,0.013388897455890003,-1.442829739308583,-0.873932832880842
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,long_short_market_neutral,2020-05-11,2026-09-04,40,0.1,0.9,0.6,0.1,0.1,-0.023725137936634222,1.5138731395513134,-0.13768934278671807,-2.2205357724391614,-3.129459026355822
FLLV,Franklin Liberty U.S. Low Volatility ETF,factor_or_style,2016-09-20,2026-07-17,82,0.2073170731707317,0.6341463414634146,0.524390243902439,0.2073170731707317,0.2073170731707317,-0.017474927156076125,0.15813937548291668,-0.09263723844262772,-1.7600238225639089,-2.0669702426418297
THRO,iShares U.S. Thematic Rotation Active ETF,thematic_equity,2021-12-16,2026-09-04,21,0.9047619047619048,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.018091448557368217,-0.03554399688933341,-0.006088505041205394,-0.7210973072539861,-0.5544387962509165
HEQT,Simplify Hedged Equity ETF,long_short_market_neutral,2021-11-02,2026-09-04,22,0.045454545454545456,0.9545454545454546,0.45454545454545453,0.045454545454545456,0.045454545454545456,-0.06701292502026857,0.7888148801918327,-0.0903827354063198,-0.028166847279927687,-1.0031062006432
FLV,American Century Focused Large Cap Value ETF,factor_or_style,2020-04-02,2026-09-04,41,0.07317073170731707,0.6097560975609756,0.43902439024390244,0.07317073170731707,0.07317073170731707,-0.030351133339434178,0.40843862654160124,-0.12218227060002063,-3.2137913399533087,-3.1059183111822715
AVUS,Avantis U.S. Equity ETF,other_equity,2019-09-26,2026-09-04,48,0.375,0.5625,0.4375,0.3333333333333333,0.3333333333333333,-0.004952861408346165,0.02683769209999537,-0.03659486495855324,-1.7670438549072882,-1.493874257775496
MBOX,Freedom Day Dividend ETF,dividend_or_income,2021-05-05,2026-09-04,28,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,-0.018817590451801758,-0.2753501684053463,-0.09601556822655133,-2.9932068899787736,-2.7316486275363667
AVIV,Avantis International Large Cap Value ETF,factor_or_style,2021-09-30,2026-09-04,23,0.30434782608695654,0.4782608695652174,0.391304347826087,0.30434782608695654,0.30434782608695654,-0.011480902548965943,-0.02850179051558277,-0.06416606938033298,-0.8191841605623367,-0.6464506971698203
RFDA,ALPS Dynamic US Dividend Advantage ETF,dividend_or_income,2016-09-28,2026-09-04,83,0.27710843373493976,0.39759036144578314,0.3855421686746988,0.27710843373493976,0.27710843373493976,-0.027202306007638066,-0.6919308726764218,-0.06290870699681794,-2.516969927703376,-2.0552912412953055
TEQI,T. Rowe Price Equity Income ETF,dividend_or_income,2020-08-05,2026-09-04,37,0.13513513513513514,0.4864864864864865,0.35135135135135137,0.13513513513513514,0.13513513513513514,-0.0389197860996251,-0.16122654271596537,-0.11738868124490076,-3.59271730452424,-3.186405426155005
AVLV,Avantis U.S. Large Cap Value ETF,factor_or_style,2021-09-23,2026-09-04,24,0.25,0.2916666666666667,0.2916666666666667,0.08333333333333333,0.08333333333333333,-0.007601077960379787,-0.5389243810869724,-0.07144917603863354,-2.893342803581473,-2.406499300984801
DUHP,Dimensional US High Profitability ETF,other_equity,2022-02-24,2026-09-04,19,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.10526315789473684,-0.031329197788312335,-0.6080263003656308,-0.04873570603752597,-1.2054156098663311,-1.1949520524833352
FBCV,Fidelity Blue Chip Value ETF,factor_or_style,2020-06-05,2026-09-04,39,0.1282051282051282,0.41025641025641024,0.23076923076923078,0.1282051282051282,0.1282051282051282,-0.048136715047044865,-0.21094201263525647,-0.1339565502417175,-3.932179520247444,-3.551551815934685
JAVA,JPMorgan Active Value ETF,factor_or_style,2021-10-05,2026-09-04,23,0.043478260869565216,0.2608695652173913,0.17391304347826086,0.043478260869565216,0.043478260869565216,-0.05480666367918374,-1.7411109236315596,-0.10032852782283874,-3.3654265154601295,-2.883178277316225
DARP,Grizzle Growth ETF,factor_or_style,2021-12-17,2026-09-04,21,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.04763857096124857,-1.3742364495687478,-0.051631533666047114,-2.5691399379137057,-1.5857016886465831
DFAU,Dimensional US Core Equity Market ETF,other_equity,2020-11-19,2026-09-04,34,0.0,0.17647058823529413,0.0,0.0,0.0,-0.00802109414150265,-0.109751891856474,-0.01360101558714888,-0.8740546981065931,-0.7965403213476465
