request_symbol,name,current_listing,identity_count,asset_classes,start_date,end_date,extreme_return_days_gt_50pct,observations,return_observations,years,cumulative_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,ulcer_index,calmar,martin,spy_observations,spy_return_observations,spy_years,spy_cumulative_return,spy_cagr,spy_annualized_volatility,spy_sharpe,spy_sortino,spy_max_drawdown,spy_ulcer_index,spy_calmar,spy_martin,beat_spy_cagr,excess_cagr,beat_spy_sharpe,excess_sharpe,beat_spy_calmar,excess_calmar,beat_spy_martin,excess_martin,beat_spy_all_four,economic_qc_pass,statistical_primary_sample,primary_sample,exploratory_sample,study_cutoff,selection_reason,taxonomy_version,normalized_name,asset_class_refined,exposure_type,primary_strategy,sector_theme,theme,geography,taxonomy_confidence,taxonomy_evidence,analysis_primary,canonical_symbol,alias_consolidation_reason,economic_name_key,management_style_name_based,management_confidence_name_based,management_audit_symbol,previous_management_style,management_evidence_version,matched_catalog_series_ids,management_style,management_confidence,management_source,management_evidence,management_source_url,management_source_zip,ncen_accession_number,ncen_series_id,ncen_fund_name,ncen_is_etf,ncen_is_index,ncen_match_route,identity_name_similarity,management_review_note,changed_from_previous,direction,breadth,dbf_signed,dbf,spy_direction,spy_breadth,spy_dbf_signed,spy_dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_sortino,excess_sortino,beat_spy_dbf_signed,excess_dbf_signed,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_martin,beat_spy_cagr_and_rwm,beats_count
AAA,Alternative Access First Priority CLO Bond ETF,True,2,fixed_income,2020-09-09,2026-09-04,0,1505,1504,5.985064717276877,0.26422799232435645,0.03995189344899375,0.021861592992608786,1.8080450286710854,2.7497956669548818,-0.026344213229386737,0.006205086747439441,1.5165339386346814,6.438571300470551,1505,1504,5.985064717276877,1.4613203184262273,0.16240475531616605,0.1671033505902069,0.9867447765010448,1.4383904425105751,-0.24496388734674457,0.07747271819852654,0.6629742737805402,2.096283170289678,False,-0.1224528618671723,True,0.8213002521700407,True,0.8535596648541413,True,4.342288130180873,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Alternative Access First Priority CLO Bond ETF,fixed_income,loans_and_clo,risk_managed_alternative,not_sector_specific,not_thematic,not_determined,medium,asset:fixed_income|exposure:loans_and_clo|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic|management_audit:non_index_management_identified,True,AAA,,alternativeaccessfirstpriorityclobondetf,not_determined,low,AAA,not_determined,management_style_evidence_1.1,S000076539,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1587982/000119312526268843/0001193125-26-268843-index.html,2026q2_ncen.zip,0001193125-26-268843,S000076539,Alternative Access First Priority CLO Bond ETF,Y,,series_id,1.0,,True,0.1873517664861348,0.3605310940195005,0.06754613733773217,0.06754613733773217,0.07966057045221815,0.5101110663312656,0.04063573853793791,0.04063573853793791,0.04641476355929397,0.0076093093481683916,0.008919996111582397,0.8530619579853728,1.0372606323281506,0.12625387776612085,0.08631688769275166,1.4626787543073434,True,1.3114052244443066,True,0.02691039879979426,False,-0.6096167963219706,False,False,3
AAAU,Goldman Sachs Physical Gold ETF Shares,True,1,commodity,2018-08-15,2026-09-04,0,2025,2024,8.05492241456019,2.724020619511397,0.17730728003490914,0.17407712780969395,1.0280384697952358,1.462450857736673,-0.2629204680413534,0.09002206828425569,0.6743761007112669,1.9695979376416872,2025,2024,8.05492241456019,2.0871594969479275,0.1502112915255378,0.19323942701216157,0.8233330461869266,1.163697730456766,-0.33717243065613767,0.07856078896534213,0.44550288774567537,1.9120389892189729,True,0.027095988509371338,True,0.20470542360830923,True,0.2288732129655915,True,0.05755894842271436,True,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Goldman Sachs Physical Gold ETF Shares,commodity,precious_metals,precious_metals,not_sector_specific,not_thematic,not_determined,medium,asset:commodity|exposure:precious_metals|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic|management_audit:static_exposure_or_trust,True,AAAU,,goldmansachsphysicalgoldetfshares,not_determined,low,AAAU,not_determined,management_style_evidence_1.1,,static_exposure_or_trust,high,primary_source_override,SEC annual report states the trust is not managed like an active investment vehicle and holds physical gold,https://www.sec.gov/Archives/edgar/data/1708646/000119312526067559/d56933d10k.htm,,,,,,,manual_ticker_override,,,True,0.08354177423424917,0.4984269010613828,0.0416394676407465,0.0416394676407465,0.06941393559486997,0.43196155982869155,0.029984151893408365,0.029984151893408365,1.980765820806515,0.14521415466989396,0.09801147130073377,1.4816036607013652,1.4710119658488785,0.11885679656812065,0.0855390614711211,1.3895031640982871,True,0.2987531272799071,True,0.011655315747338132,True,0.09210049660307806,True,True,4
AADR,AdvisorShares Dorsey Wright ADR ETF,True,1,equity,2010-07-21,2026-09-04,0,4057,4056,16.123534364155322,2.9315324221833152,0.08861773462609435,0.2067386467264768,0.5155444645865273,0.7123421058758487,-0.4500847198661396,0.1330255700255667,0.19689123117187868,0.6661706813890184,4057,4056,16.123534364155322,8.55364193147767,0.15024723344232527,0.16945210133069,0.912668107415251,1.2906615260187835,-0.33717243065613756,0.061890554973241384,0.4456094857754062,2.4276278263668054,False,-0.06162949881623092,False,-0.3971236428287237,False,-0.24871825460352753,False,-1.7614571449777872,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,AdvisorShares Dorsey Wright ADR ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:other_equity|management:active_sponsor_advisorshares|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,AADR,,advisorsharesdorseywrightadretf,active_identified,medium,AADR,active_identified,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer includes AADR in its official actively managed ETF lineup,https://insights.advisorshares.com/etf-fact-sheets,,,,,,,manual_ticker_override,,,False,0.037783561319168255,0.4654792443821946,0.017587463572914755,0.017587463572914755,0.07834406832769238,0.43988332780241485,0.03446224948956509,0.03446224948956509,2.049962811556929,0.07160936479355384,0.14621699725833262,0.4897471985902991,6.4114237088642225,0.13227597528349766,0.06647944448436113,1.9897274459718859,False,-0.5783194201429348,False,-0.016874785916650335,False,-1.4999802473815869,False,False,0
AAVM,Alpha Architect Global Factor Equity ETF,True,1,equity,2017-05-04,2026-09-04,0,2348,2347,9.336262893830812,0.6120289518435993,0.05247441329078528,0.15491993737796542,0.4085748005604577,0.5649912558423548,-0.3471250745957255,0.15487660755210975,0.15116860501045307,0.33881432528879324,2348,2347,9.336262893830812,2.729633077029536,0.1514119193520469,0.18451254154157293,0.8586805166918474,1.2099278372710356,-0.33717243065613767,0.0740144437899768,0.4490637596241165,2.0457077240449575,False,-0.09893750606126162,False,-0.4501057161313897,False,-0.29789515461366345,False,-1.7068933987561643,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Alpha Architect Global Factor Equity ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,global,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:global|theme:not_thematic|management_audit:active_identified,True,AAVM,,alphaarchitectglobalfactorequityetf,systematic_or_rules_based,medium,AAVM,systematic_or_rules_based,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer identifies an active approach with portfolio rebalancing to maintain factor exposure,https://funds.alphaarchitect.com/aavm/,,,,,,,manual_ticker_override,,,True,0.02935607281583609,0.5025380271829524,0.014752542918709366,0.014752542918709366,0.07395865835614,0.4229934435166213,0.031284027575933,0.031284027575933,0.26724826134697044,0.025693111180474792,0.20238456375907674,0.12695193103294414,1.9319392973200076,0.1221130498724905,0.08052680745767908,1.5164273082186586,False,-0.6449365814286808,False,-0.016531484657223636,False,-1.3894753771857145,False,False,0
AAXJ,iShares MSCI All Country Asia ex Japan ETF,True,1,equity,2008-08-15,2026-09-04,0,4542,4541,18.053758804082218,2.2794429340275797,0.06799749003612243,0.24803857221629133,0.3895508465825982,0.5622149575280722,-0.49371638909682625,0.17653224012238852,0.13772581088610966,0.38518454186600853,4542,4541,18.053758804082218,7.2248707021327,0.12380022907589994,0.19727515128253367,0.6915896431339082,0.9777624431967341,-0.4695419242458073,0.0960360409102118,0.263661715138114,1.2891017570335501,False,-0.055802739039777505,False,-0.30203879655131005,False,-0.12593590425200432,False,-0.9039172151675416,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,iShares MSCI All Country Asia ex Japan ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,japan,high,asset:equity|exposure:other_equity|management:index_provider_or_index_word|geography:japan|theme:not_thematic|management_audit:index_passive_identified,True,AAXJ,,isharesmsciallcountryasiaexjapanetf,index_passive_identified,high,AAXJ,index_passive_identified,management_style_evidence_1.1,S000022496,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036825014340/0001410368-25-014340-index.html,2025q4_ncen.zip,0001410368-25-014340,S000022496,iShares MSCI All Country Asia ex Japan ETF,Y,Y,series_id,1.0,,False,0.025068495972105004,0.44671815585176444,0.011198552290636132,0.011198552290636132,0.058756462286869704,0.402807936056014,0.02366756930372701,0.02366756930372701,1.5283273139728322,0.0527202755848839,0.19469485412792967,0.27078412432124466,5.341066354387774,0.10772478202652258,0.09951899510571012,1.0824544792890662,False,-0.41554748566866195,False,-0.01246901701309088,False,-0.8116703549678216,False,False,0
ABEQ,Absolute Select Value ETF,True,1,equity,2020-01-22,2026-09-04,0,1665,1664,6.617521235891223,0.698182740031094,0.08331276950319144,0.1368097310832584,0.6549946467865647,0.9041546535036612,-0.27824349289083883,0.05816010714614027,0.29942396365717316,1.4324727651180127,1665,1664,6.617521235891223,1.5501050099098839,0.1519579040238801,0.2019090106080336,0.8035280474650065,1.1377384749004522,-0.33717243065613767,0.08348571076323304,0.4506830636424513,1.820166620547023,False,-0.06864513452068866,False,-0.14853340067844178,False,-0.15125909998527814,False,-0.38769385542901036,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Absolute Select Value ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,ABEQ,,absoluteselectvalueetf,systematic_or_rules_based,medium,ABEQ,systematic_or_rules_based,management_style_evidence_1.1,S000067086,active_identified,high,primary_source_override,Issuer describes ABEQ as an actively managed value ETF,https://absoluteadvisers.com/funds/,,,,,,,manual_ticker_override,,,True,0.05507312483453321,0.44589234365627006,0.02455668470494434,0.02455668470494434,0.06709373970559165,0.43211663753275126,0.02899232120107791,0.02899232120107791,0.40201036764058906,0.05238866637351536,0.06953333293505475,0.7534324066192428,1.105352726880501,0.1190742659574544,0.09106987717448779,1.3075044092714745,False,-0.233583821396791,False,-0.004435636496133568,False,-0.5540720026522317,False,False,0
ABFL,Abacus FCF Leaders ETF,True,1,equity,2016-09-28,2026-09-04,0,2498,2497,9.933126621354306,2.815845907986466,0.1443282795806038,0.1810269785979327,0.8377703937901426,1.1648375204328847,-0.34953082048293616,0.07137211965636495,0.41292003772711594,2.0221941043015197,2498,2497,9.933126621354306,3.1526614334946643,0.1541145921258542,0.1798719565972562,0.889206759619569,1.2553823642286057,-0.33717243065613767,0.071807179272073,0.4570794587978239,2.146228186208561,False,-0.00978631254525042,False,-0.051436365829426345,False,-0.04415942107070797,False,-0.12403408190704113,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Abacus FCF Leaders ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:other_equity|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic|management_audit:systematic_or_rules_based,True,ABFL,,abacusfcfleadersetf,not_determined,low,ABFL,not_determined,management_style_evidence_1.1,,systematic_or_rules_based,high,primary_source_override,Issuer describes the FCF Leaders strategy and its quantitative free-cash-flow model,https://abacusfcf.com/abfl/,,,,,,,manual_ticker_override,,,True,0.06844225405936459,0.4672527872315034,0.03197983397364478,0.03197983397364478,0.07761604594528998,0.41765049312430325,0.03241637986340894,0.03241637986340894,1.9884569546641688,0.11651558213862256,0.07797023383308062,1.4943597884810782,2.252240850533009,0.12606404007977856,0.07811958739621333,1.6137315144842819,False,-0.09054484379572103,False,-0.0004365458897641547,False,-0.11937172600320367,False,False,0
ABLD,Abacus FCF Real Assets Leaders ETF,True,1,equity,2021-12-15,2026-09-04,0,1185,1184,4.720151680048187,0.7303829832363611,0.12318744988004093,0.1725757408084374,0.7627405013525111,1.087082894317127,-0.19349388595198624,0.05562580737372926,0.6366477642120888,2.214573696924342,1185,1184,4.720151680048187,0.7454877005695995,0.12525748590867058,0.17388051591215917,0.7686611001599303,1.1171313580398612,-0.24496388734674468,0.0868560776189197,0.5113304139045176,1.4421268993775742,False,-0.0020700360286296515,False,-0.005920598807419131,True,0.12531735030757118,True,0.7724467975467677,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Abacus FCF Real Assets Leaders ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:other_equity|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic|management_audit:index_passive_identified,True,ABLD,,abacusfcfrealassetsleadersetf,not_determined,low,ABLD,not_determined,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True,0.057914530628898626,0.5397134903565493,0.031257253468084154,0.031257253468084154,0.060831027439455856,0.4998012292772042,0.030403422292435377,0.030403422292435377,0.43374924409571913,0.07931953306802675,0.06379174526342746,1.243413747977539,0.446264610502239,0.08130872046510218,0.0968687984145103,0.8393695575449884,False,-0.030048463722734287,True,0.0008538311756487761,True,0.40404419043255047,False,False,2
ABLG,Abacus FCF International Leaders ETF,True,1,equity,2017-07-10,2026-09-04,0,2303,2302,9.15282312436258,0.5984572081902726,0.052581031269135936,0.1906651233766871,0.36506191466516025,0.5054818230873971,-0.3417161577033412,0.12054613666253934,0.1538734124325015,0.4361900988692233,2303,2302,9.15282312436258,2.6562524492642825,0.15216592885762825,0.18598994722543388,0.8564946778004437,1.207116344997001,-0.33717243065613767,0.0747275884168367,0.4513000323351269,2.036275117147285,False,-0.09958489758849232,False,-0.4914327631352835,False,-0.2974266199026254,False,-1.6000850182780617,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Abacus FCF International Leaders ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,international_ex_us,medium,asset:equity|exposure:other_equity|management:free_metadata_insufficient|geography:international_ex_us|theme:not_thematic|management_audit:active_identified,True,ABLG,,abacusfcfinternationalleadersetf,not_determined,low,ABLG,not_determined,management_style_evidence_1.1,,active_identified,high,primary_source_override,Issuer classifies the product in its active ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True,0.026246137339754068,0.4147023984120881,0.010884336103849073,0.010884336103849073,0.07348053933231251,0.4252597546967781,0.031248316131446175,0.031248316131446175,0.2589231670874894,0.025476012953807414,0.156164628448361,0.16313561660495723,1.8796147244445152,0.12249649944911134,0.08130344694017876,1.5066581314718612,False,-0.701634521909604,False,-0.020363980027597102,False,-1.3435225148669039,False,False,0
ABOT,Abacus FCF Innovation Leaders ETF,True,1,equity,2020-12-08,2026-09-04,0,1442,1441,5.738653086647912,0.889954732030684,0.1173097003997643,0.19835201459459584,0.6604330652438724,0.9441833972932224,-0.29710401997279656,0.1260482989876044,0.3948438678497363,0.9306726178930868,1442,1441,5.738653086647912,1.2503105395671232,0.1518095748500885,0.1664341523189714,0.9354572352373065,1.3628697944040684,-0.24496388734674468,0.07897515316187358,0.6197222639400848,1.9222447665144489,False,-0.03449987445032421,False,-0.27502416999343415,False,-0.2248783960903485,False,-0.9915721486213621,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Abacus FCF Innovation Leaders ETF,equity,thematic_equity,thematic_equity,not_sector_specific,other_thematic,not_determined,medium,asset:equity|theme:other_thematic|management:free_metadata_insufficient|geography:not_determined|theme:other_thematic|management_audit:index_passive_identified,True,ABOT,,abacusfcfinnovationleadersetf,not_determined,low,ABOT,not_determined,management_style_evidence_1.1,,index_passive_identified,high,primary_source_override,Issuer classifies the product in its index ETF range,https://abacusfcf.com/strategies/,,,,,,,manual_ticker_override,,,True,0.04739145120862602,0.5563997625660293,0.02636859220013908,0.02636859220013908,0.07566983236329193,0.503744125200303,0.03811823350790007,0.03811823350790007,0.5646825798481534,0.081135476689429,0.13795567406961587,0.5881271447268346,0.8630190664546624,0.11451837687926125,0.08802786822856422,1.3009332065376669,False,-0.418686397110846,False,-0.011749641307760992,False,-0.7128060618108323,False,False,0
