request_symbol,name,current_listing,identity_count,asset_classes,start_date,end_date,extreme_return_days_gt_50pct,observations,return_observations,years,cumulative_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,ulcer_index,calmar,martin,spy_observations,spy_return_observations,spy_years,spy_cumulative_return,spy_cagr,spy_annualized_volatility,spy_sharpe,spy_sortino,spy_max_drawdown,spy_ulcer_index,spy_calmar,spy_martin,beat_spy_cagr,excess_cagr,beat_spy_sharpe,excess_sharpe,beat_spy_calmar,excess_calmar,beat_spy_martin,excess_martin,beat_spy_all_four,economic_qc_pass,statistical_primary_sample,primary_sample,exploratory_sample,study_cutoff,selection_reason,taxonomy_version,normalized_name,asset_class_refined,exposure_type,primary_strategy,sector_theme,theme,geography,taxonomy_confidence,taxonomy_evidence,analysis_primary,canonical_symbol,alias_consolidation_reason,economic_name_key,management_style_name_based,management_confidence_name_based,management_audit_symbol,previous_management_style,management_evidence_version,matched_catalog_series_ids,management_style,management_confidence,management_source,management_evidence,management_source_url,management_source_zip,ncen_accession_number,ncen_series_id,ncen_fund_name,ncen_is_etf,ncen_is_index,ncen_match_route,identity_name_similarity,management_review_note,changed_from_previous,direction,breadth,dbf_signed,dbf,spy_direction,spy_breadth,spy_dbf_signed,spy_dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_sortino,excess_sortino,beat_spy_dbf_signed,excess_dbf_signed,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_martin,beat_spy_cagr_and_rwm,beats_count,evidence_bucket,intentional_management
DFAU,Dimensional US Core Equity Market ETF,True,1,equity,2020-11-19,2026-09-04,0,1454,1453,5.790673319780693,1.2926792835143326,0.15405955831958562,0.16585290210078385,0.9506910134845858,1.380212473931975,-0.23613478709063707,0.07581372145142361,0.6524221196619031,2.0320801481602078,1454,1453,5.790673319780693,1.3282397755450739,0.15713108592999125,0.16603010303542923,0.9658543848391895,1.4088815640544854,-0.24496388734674468,0.07864890665983627,0.6414459193635073,1.9978801054361455,False,-0.0030715276104056333,False,-0.01516337135460366,True,0.010976200298395855,True,0.034200042724062296,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Dimensional US Core Equity Market ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,united_states,medium,asset:equity|exposure:other_equity|management:active_sponsor_dimensional|geography:united_states|theme:not_thematic|management_audit:active_identified,True,DFAU,,dimensionaluscoreequitymarketetf,active_identified,medium,DFAU,active_identified,management_style_evidence_1.1,S000069432,active_identified,high,primary_source_override,Issuer states that Dimensional ETFs use a systematic process in an actively managed transparent ETF structure,https://www.dimensional.com/us-en/insights/dimensional-investing-in-an-active-etf-structure,,,,,,,manual_ticker_override,,Systematic implementation is retained as a strategy attribute and does not negate the active management classification.,False,0.07618756549199728,0.5142415614131893,0.0391788126388743,0.0391788126388743,0.07837509626691515,0.5037676101369255,0.039482834940635314,0.039482834940635314,0.8980110191859296,0.11701710117915498,0.08538306012918297,1.370495517519638,0.9274500280378619,0.11999004035099725,0.0876641551869834,1.368746896551553,False,-0.0286690901225104,False,-0.000304022301761013,True,0.001748620968085035,False,False,2,intentional_management,True
DIVO,Amplify CWP Enhanced Dividend Income ETF,True,1,equity,2016-12-15,2026-09-04,0,2443,2442,9.719569874809203,2.24556894498812,0.12876690089312937,0.1471688566266905,0.8993902892671265,1.2856112710562955,-0.3003700040073506,0.04123736438871744,0.4286942743123518,3.122578341315141,2443,2442,9.719569874809203,2.9664607126450258,0.15230337853625953,0.18136844882969028,0.8751024831998909,1.2341713236154255,-0.33717243065613767,0.07258634375711723,0.45170768630127056,2.0982373632963967,False,-0.02353647764313016,True,0.024287806067235573,False,-0.023013411988918764,True,1.0243409780187442,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Amplify CWP Enhanced Dividend Income ETF,equity,factor_style_or_income,dividend_or_income,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,DIVO,,amplifycwpenhanceddividendincomeetf,systematic_or_rules_based,medium,DIVO,systematic_or_rules_based,management_style_evidence_1.1,S000055107,active_identified,high,primary_source_override,Issuer states that DIVO is actively managed with a tactical covered-call process,https://amplifyetfs.com/cwp-covered-call-suite/,,,,,,,manual_ticker_override,,,True,0.08164645902631278,0.4036849468837765,0.03295944647528551,0.03295944647528551,0.07611909565567453,0.4182641518124431,0.031837888981150926,0.031837888981150926,1.5440637268294704,0.10083652950248423,0.045255889801014214,2.2281415733035574,2.109140182807399,0.1237906171399541,0.07897074707688188,1.5675502856701846,True,0.05143994744086999,True,0.0011215574941345827,True,0.6605912876333728,False,False,2,intentional_management,True
DUHP,Dimensional US High Profitability ETF,True,1,unknown,2022-02-24,2026-09-04,0,1137,1136,4.525760282552003,0.8012076832991963,0.1388556954312652,0.16030306296174376,0.8945528614448018,1.3018049775419125,-0.200462011954595,0.05833808207194121,0.692678348767228,2.3801895862814186,1137,1136,4.525760282552003,0.9111621408911124,0.15386435574419122,0.1730825515673324,0.9166222424517443,1.3416499164910365,-0.2209484799542688,0.0737283422412559,0.6963811463017875,2.086909200273513,False,-0.015008660312926025,False,-0.022069381006942446,False,-0.0037027975345594877,True,0.29328038600790585,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Dimensional US High Profitability ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,united_states,medium,asset:name_inferred_equity|exposure:other_equity|management:active_sponsor_dimensional|geography:united_states|theme:not_thematic|management_audit:active_identified,True,DUHP,,dimensionalushighprofitabilityetf,active_identified,medium,DUHP,active_identified,management_style_evidence_1.1,S000075148,active_identified,high,primary_source_override,Issuer states that Dimensional ETFs use a systematic process in an actively managed transparent ETF structure,https://www.dimensional.com/us-en/insights/dimensional-investing-in-an-active-etf-structure,,,,,,,manual_ticker_override,,Systematic implementation is retained as a strategy attribute and does not negate the active management classification.,False,0.07212195840671426,0.5056234442172511,0.036466553013296196,0.036466553013296196,0.07455812358152718,0.492919186858662,0.036751129649514006,0.036751129649514006,0.49266695100672364,0.09254261365030869,0.06531109357230082,1.4169509127551505,0.5837865850639701,0.10694092682682066,0.08238942870838711,1.2979933045212904,False,-0.039844938949124,False,-0.00028457663621780926,True,0.11895760823386015,False,False,1,intentional_management,True
FBCV,Fidelity Blue Chip Value ETF,True,1,equity,2020-06-05,2026-09-04,0,1571,1570,6.247903789947775,1.2971107509401651,0.14237449435708038,0.1449711399826017,0.993550288624682,1.4445791995481945,-0.15548607823171623,0.045929069463259045,0.9156735829744446,3.099877616091762,1571,1570,6.247903789947775,1.630463893950897,0.1674215958262646,0.16882843143258375,1.0040957604164633,1.4456746714852196,-0.2449638873467448,0.07642651749867742,0.6834541925327974,2.1906218064844034,False,-0.025047101469184208,False,-0.010545471791781336,True,0.2322193904416472,True,0.9092558096073584,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Fidelity Blue Chip Value ETF,equity,sector_or_industry,factor_or_style,semiconductors,not_thematic,not_determined,medium,asset:equity|sector:semiconductors|management:rules_keyword|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,FBCV,,fidelitybluechipvalueetf,systematic_or_rules_based,medium,FBCV,systematic_or_rules_based,management_style_evidence_1.1,S000068175,active_identified,high,primary_source_override,Issuer includes FBCV in its active equity ETF lineup,https://institutional.fidelity.com/advisors/investment-solutions/asset-classes/domestic-equity/active-equity-etfs,,,,,,,manual_ticker_override,,,True,0.07960122031641446,0.5287977570074879,0.042092946758378845,0.042092946758378845,0.08108174618724771,0.5094905278366169,0.04131038166285544,0.04131038166285544,0.9008853287751823,0.10827598226888102,0.05866331771093457,1.8457186960071794,1.176738854161735,0.13257545772186807,0.08502335022036757,1.5592829190834363,False,-0.0010954719370250832,True,0.0007825650955234076,True,0.2864357769237431,False,False,2,intentional_management,True
FLLV,Franklin Liberty U.S. Low Volatility ETF,False,1,unknown,2016-09-20,2026-07-17,0,2468,2467,9.820872434067777,2.341296856610579,0.13069923887724877,0.15601810214745215,0.8683131192905543,1.2300906083151513,-0.339541008446563,0.05323905041798548,0.38492917092757656,2.4549506020696286,2468,2467,9.820872434067777,3.0680898783320716,0.15358752353391347,0.1805857347775976,0.8844427837230022,1.2481615433615871,-0.33717243065613756,0.07222641082984851,0.4555162568749531,2.1264731525388414,False,-0.022888284656664704,False,-0.0161296644324479,False,-0.07058708594737656,True,0.32847744953078717,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Franklin Liberty U.S. Low Volatility ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,united_states,medium,asset:name_inferred_equity|exposure:factor_style_or_income|management:rules_keyword|geography:united_states|theme:not_thematic|management_audit:active_identified,True,FLLV,,franklinlibertyuslowvolatilityetf,systematic_or_rules_based,medium,FLLV,systematic_or_rules_based,management_style_evidence_1.1,S000053774,active_identified,high,primary_source_override,Issuer launch release identifies FLLV as an actively managed ETF,https://www.franklintempleton.com/press-releases/news-room/2016/franklin-templeton-investments-introduces-suite-of-actively-managed-etfs,,,,,,,manual_ticker_override,,,True,0.083017217238729,0.35624749084886437,0.029574675338552295,0.029574675338552295,0.0771281166386718,0.4175533478315403,0.03220510331441894,0.03220510331441894,1.6295310469845967,0.10345255934797315,0.059439763783651046,1.7404604722946067,2.201502020341051,0.12578930055650184,0.07857052457523432,1.600973154201786,False,-0.018070935046435865,False,-0.0026304279758666456,True,0.13948731809282067,False,False,1,intentional_management,True
FLV,American Century Focused Large Cap Value ETF,True,1,equity,2020-04-02,2026-09-04,0,1615,1614,6.423129838395039,1.6115292914436905,0.1611952705336337,0.14127308283779408,1.1317495050849418,1.690502661616017,-0.15060106723782773,0.038259634960709395,1.0703461369173148,4.213194158783079,1615,1614,6.423129838395039,2.33563276985838,0.2062913880790911,0.1736955733099212,1.169911125982113,1.7202873747509875,-0.24496388734674468,0.07543184349132136,0.84212979436878,2.734805070789838,False,-0.04509611754545739,False,-0.038161620897171344,True,0.22821634254853485,True,1.4783890879932406,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,American Century Focused Large Cap Value ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,FLV,,americancenturyfocusedlargecapvalueetf,systematic_or_rules_based,medium,FLV,systematic_or_rules_based,management_style_evidence_1.1,S000063005,active_identified,high,primary_source_override,Issuer states that FLV is actively managed and does not replicate an index,https://www.americancentury.com/advisors/investment-products/etfs/,,,,,,,manual_ticker_override,,,True,0.09329046357466388,0.5121046024002229,0.04777447575663572,0.04777447575663572,0.0958508537844222,0.5058355611623996,0.04848477041193831,0.04848477041193831,1.1608775680660712,0.12745100928804454,0.0457682074204582,2.7847061633240733,1.7600280231620316,0.1712366365049316,0.08390537262328757,2.0408304158750092,False,-0.029784713134970442,False,-0.0007102946553025902,True,0.743875747449064,False,False,2,intentional_management,True
HEQT,Simplify Hedged Equity ETF,True,1,equity,2021-11-02,2026-09-04,0,1215,1214,4.837881681348693,0.5420128093274281,0.09364952571445051,0.08415084801386997,1.1105394695110768,1.6191733568513687,-0.11510311955790897,0.0415930837060391,0.8136141407299995,2.2515648605504355,1215,1214,4.837881681348693,0.778364312058097,0.1263666811091746,0.1733932258397753,0.7757870589792832,1.1273146612895952,-0.24496388734674457,0.08580787474465991,0.5158584086735344,1.4726699791272804,False,-0.032717155394724085,True,0.3347524105317936,True,0.2977557320564651,True,0.7788948814231551,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,long_short_market_neutral,not_sector_specific,not_thematic,not_determined,medium,asset:alternatives|exposure:long_short_market_neutral|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic|management_audit:non_index_management_identified,True,HEQT,,simplifyhedgedequityetf,not_determined,low,HEQT,not_determined,management_style_evidence_1.1,S000073925,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1810747/000175272425213393/0001752724-25-213393-index.html,2025q3_ncen.zip,0001752724-25-213393,S000073925,Simplify Hedged Equity ETF,Y,,series_id,1.0,,True,0.09234783940618846,0.5293487583033653,0.048884214121664445,0.048884214121664445,0.06136175263113343,0.5017753962865439,0.030789817743323854,0.030789817743323854,0.27754900830877083,0.05193392231497773,0.04831656825972571,1.0748677769457247,0.47336490951231136,0.08340313140998257,0.09569308852300176,0.8715690202635161,True,0.4918586955617734,True,0.01809439637834059,True,0.20329875668220854,False,False,3,intentional_management,True
JAVA,JPMorgan Active Value ETF,True,1,equity,2021-10-05,2026-09-04,0,1235,1234,4.914543077544371,0.7764166623175177,0.12402718172725069,0.1463298355145323,0.8752114114849533,1.26563454360367,-0.16541210988199062,0.04920376184722777,0.7498071442032568,2.520684945032076,1235,1234,4.914543077544371,0.8966208212672713,0.13910259188035679,0.17239616099764898,0.8443397480150989,1.2291433715472948,-0.24496388734674468,0.0851116694350379,0.5678493813394545,1.6343539352911864,False,-0.015075410153106095,True,0.03087166346985437,True,0.18195776286380227,True,0.8863310097408894,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,JPMorgan Active Value ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,not_determined,high,asset:equity|exposure:factor_style_or_income|management:active_word|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,JAVA,,jpmorganactivevalueetf,active_identified,high,JAVA,active_identified,management_style_evidence_1.1,S000072931,active_identified,medium,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; classification refined by transparent product-name evidence (strategy_name_identifies_active_management),https://www.sec.gov/Archives/edgar/data/1485894/000175272425214980/0001752724-25-214980-index.html,2025q3_ncen.zip,0001752724-25-214980,S000072931,JPMorgan Active Value ETF,Y,,series_id,1.0,,False,0.06865938911598914,0.540148424471697,0.03708626085619071,0.03708626085619071,0.06751538725458602,0.5014267410103667,0.03385402059911991,0.03385402059911991,0.47166094626564004,0.08179542574991805,0.059586151250262044,1.3727254409565233,0.5712433078014048,0.09630442518521054,0.09491636923022866,1.0146239891626598,True,0.0364911720563752,True,0.0032322402570707995,True,0.35810145179386343,False,False,3,intentional_management,True
MBOX,Freedom Day Dividend ETF,True,1,equity,2021-05-05,2026-09-04,0,1341,1340,5.333442849613613,0.8869981559852953,0.12643488011377202,0.14242573415031082,0.9097808903269198,1.3235434747608534,-0.1642341087680088,0.04711829949612138,0.7698454423518648,2.683349812405257,1341,1340,5.333442849613613,0.9885845588973994,0.13756405942580252,0.16855359462670755,0.851211303991035,1.2372158973173435,-0.24496388734674468,0.08183633767724201,0.561568731276221,1.6809654895402035,False,-0.011129179312030502,True,0.05856958633588483,True,0.20827671107564383,True,1.0023843228650535,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Freedom Day Dividend ETF,equity,factor_style_or_income,dividend_or_income,not_sector_specific,not_thematic,not_determined,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:not_determined|theme:not_thematic|management_audit:active_identified,True,MBOX,,freedomdaydividendetf,systematic_or_rules_based,medium,MBOX,systematic_or_rules_based,management_style_evidence_1.1,S000071574,active_identified,high,primary_source_override,SEC prospectus states that MBOX is actively managed,https://www.sec.gov/Archives/edgar/data/1592900/000159290025000169/R2.htm,,,,,,,manual_ticker_override,,,True,0.07136794785625594,0.5468593470321327,0.03902822936369542,0.03902822936369542,0.06828722171956059,0.5013908041413235,0.034238585010547336,0.034238585010547336,0.562727028617485,0.08730738862634002,0.05782794123219539,1.5097786081606535,0.646856319929844,0.09804998822880973,0.09122972816501707,1.07475918432483,True,0.08632757744350994,True,0.004789644353148083,True,0.43501942383582337,False,False,3,intentional_management,True
RFDA,ALPS Dynamic US Dividend Advantage ETF,True,1,equity,2016-09-28,2026-09-04,0,2498,2497,9.933126621354306,2.5378506398745935,0.1356470590244112,0.16846588598508994,0.8415378784058059,1.181837651991226,-0.34605946009210786,0.05949465205060611,0.3919761620974243,2.2799874333079537,2498,2497,9.933126621354306,3.1526614334946643,0.1541145921258542,0.1798719565972562,0.889206759619569,1.2553823642286057,-0.33717243065613767,0.071807179272073,0.4570794587978239,2.146228186208561,False,-0.018467533101443,False,-0.047668881213763115,False,-0.0651032967003996,True,0.1337592470993929,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,ALPS Dynamic US Dividend Advantage ETF,equity,factor_style_or_income,dividend_or_income,not_sector_specific,not_thematic,united_states,medium,asset:equity|exposure:factor_style_or_income|management:rules_keyword|geography:united_states|theme:not_thematic|management_audit:active_identified,True,RFDA,,alpsdynamicusdividendadvantageetf,systematic_or_rules_based,medium,RFDA,systematic_or_rules_based,management_style_evidence_1.1,S000052852,active_identified,high,primary_source_override,Exchange filing based on the issuer prospectus states that RFDA is actively managed and does not follow an index,https://www.miaxglobal.com/sites/default/files/circular-files/MIAX_PEARL_Equities_PC_2020_689.pdf,,,,,,,manual_ticker_override,,,True,0.07143232792526372,0.44297320768194753,0.03164260743324283,0.03164260743324283,0.07761604594528998,0.41765049312430325,0.03241637986340894,0.03241637986340894,1.7707393338834496,0.10804535712021823,0.0662459022268245,1.6309741959626927,2.252240850533009,0.12606404007977856,0.07811958739621333,1.6137315144842819,False,-0.0735447122373798,False,-0.00077377243016611,True,0.017242681478410793,False,False,1,intentional_management,True
