request_symbol,name,start_date,asset_class_refined,management_style,primary_strategy,sector_theme,cagr,spy_cagr,excess_cagr,sortino,spy_sortino,excess_sortino,calmar,spy_calmar,excess_calmar,martin,spy_martin,excess_martin,direction,spy_direction,breadth,spy_breadth,dbf_signed,spy_dbf_signed,excess_dbf_signed,dbf,spy_dbf,beat_spy_dbf_signed,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,beat_spy_all_four,joint_excess_score
CLSE,Convergence Long/Short Equity ETF,2022-02-22,alternatives,active_identified,long_short_market_neutral,not_sector_specific,0.20305606723230296,0.1539367065063657,0.049119360725937256,2.022853094980422,1.3380643710991795,0.6847887238812427,1.234745111131687,0.6967086016533218,0.5380365094783651,4.036004442725402,2.085260184222349,1.9507442585030534,0.11077350785027455,0.07434740174874147,0.5796972398787315,0.49322056972643924,0.06421509675248915,0.03666966784819473,0.02754542890429442,0.06421509675248915,0.03666966784819473,True,0.9096739999699104,0.15416621579420897,0.058651222129020956,2.628525207114596,0.5822432483348059,0.10704297005745067,0.0824928088618573,1.2976036521765812,True,1.3309215549380147,True,True,True,0.986159169550173
NETZ,Engine No. 1 Transform Climate ETF,2022-02-02,equity,not_determined,thematic_equity,not_sector_specific,0.2005932113275788,0.13062013403672945,0.06997307729084934,1.2873037519208637,1.149648589265061,0.1376551626558027,0.7754112857147264,0.5911791475721613,0.18423213814256512,2.856719510686667,1.7453615211812468,1.1113579895054204,0.06822381955480872,0.06297260595132328,0.5303632973727958,0.4961974963196713,0.03618340989845498,0.03124684940977185,0.004936560488683128,0.03618340989845498,0.03124684940977185,True,0.8792349351886739,0.15224114339789385,0.07976321489998821,1.908663581185672,0.4384039820560275,0.08508612550842565,0.0835206177417259,1.0187439677654304,True,0.8899196134202416,True,True,True,0.9841819080573406
BOAT,SonicShares Global Shipping ETF,2021-08-04,equity,not_determined,sector_or_industry,industrials_transport,0.2751174502329019,0.132685593775959,0.1424318564569429,1.5876614343179904,1.185533204689926,0.4021282296280644,0.8105868880959773,0.5416536911342507,0.2689331969617267,2.3074525936750185,1.5804662668296405,0.726986326845378,0.0803998766337506,0.06511560161468916,0.5755054902470084,0.5009759148658842,0.04627057041790563,0.03262134809096135,0.01364922232694428,0.04627057041790563,0.03262134809096135,True,1.8387757720317315,0.22874265927264248,0.13567277188304486,1.6859879554154569,0.5580335067556579,0.09149091196412806,0.0935973338541877,0.9774948515804824,True,0.7084931038349744,True,True,True,0.981463173504696
PVAL,Putnam Focused Large Cap Value ETF,2021-05-26,equity,systematic_or_rules_based,factor_or_style,not_sector_specific,0.16975700455500786,0.1382592906599469,0.03149771389506095,1.6282395735521025,1.241257372709869,0.38698220084223345,1.019894836384129,0.5644068281143897,0.45548800826973923,3.7995270548011075,1.6774211977819062,2.1221058570192013,0.08977978238608995,0.06866996356612827,0.5353055919803148,0.49907356708059103,0.04805961955804972,0.03427136366824186,0.013788255889807866,0.04805961955804972,0.03427136366824186,True,0.8897195046285338,0.12870174538208912,0.049615290920343565,2.5939935651837134,0.6371221678973114,0.09830951476456407,0.09188979340082239,1.069863269098222,True,1.5241302960854914,True,True,True,0.9812160158180919
CGDV,Capital Group Dividend Value ETF,2022-02-24,equity,active_identified,dividend_or_income,not_sector_specific,0.1914670897363897,0.15489599836489765,0.03657109137149206,1.8039982019638303,1.3476489648343064,0.4563492371295239,0.8777295277406948,0.7010503009432675,0.1766792267974273,3.3793201716632084,2.0964586875378495,1.282861484125359,0.10087246559410672,0.07497144021779922,0.509708897364402,0.49234597450542483,0.051415593212400704,0.036911886794107555,0.014503706418293148,0.051415593212400704,0.036911886794107555,True,0.8263189933739636,0.1429917001594232,0.06188989111955511,2.310420935839111,0.5869420246101953,0.10790852055381994,0.08256391955955804,1.3069694502085674,True,1.0034514856305434,True,True,True,0.9804745427582798
FFLC,Fidelity Fundamental Large Cap Core ETF,2020-06-05,equity,systematic_or_rules_based,factor_or_style,not_sector_specific,0.1968297033718267,0.16821866944065111,0.02861103393117559,1.6327091350061531,1.4502476217489837,0.18246151325716942,0.9983021669479086,0.6867080338357738,0.3115941331121348,4.466966949183901,2.197673809753083,2.269293139430818,0.0887627708010104,0.08139934097494587,0.5327832385309909,0.5090712361082976,0.0472913164883464,0.0414380631285165,0.005853253359829898,0.0472913164883464,0.0414380631285165,True,1.5358505999535992,0.16112907443880564,0.04695096586396744,3.4318585672049893,1.1810756555508868,0.1333714884985091,0.08515388405494671,1.5662408118982492,True,1.8656177553067401,True,True,True,0.9799802273850717
USG,USCF Gold Strategy Plus Income Fund,2021-11-03,commodity,not_determined,precious_metals,not_sector_specific,0.17363962087621498,0.12585330359253755,0.04778631728367744,1.5063629648435852,1.1221485688763584,0.38421439596722684,0.6983886435632969,0.5137626813310366,0.18462596223226024,2.28241487337498,1.463148683761668,0.819266189613312,0.08944731656733126,0.061089841534272694,0.47660051453012303,0.5011527380255968,0.04263063709932888,0.030615341350450586,0.012015295748878291,0.04263063709932888,0.030615341350450586,True,0.7925653305435139,0.12883921069620374,0.08753271202677783,1.4718978506776932,0.4673453713092226,0.0828770024296559,0.09592439224225383,0.8639825647302807,True,0.6079152859474125,True,True,True,0.9789915966386554
IAUM,iShares Gold Trust Micro Shares,2021-07-01,commodity,not_determined,precious_metals,not_sector_specific,0.19911299321298892,0.13445932726767018,0.06465366594531874,1.5516349991024694,1.2048468455651622,0.3467881535373072,0.7569107372626105,0.5488944869549037,0.20801625030770676,2.3101376798220055,1.6158666293833739,0.6942710504386316,0.08772866117197212,0.06623877552760049,0.5036279713350865,0.5018437183808783,0.04418260765398349,0.03324151341176735,0.010941094242216141,0.04418260765398349,0.03324151341176735,True,1.1146742788778012,0.15625459813391562,0.09672939890037129,1.615378570633461,0.5888361929477766,0.09391176725925199,0.09276914289817693,1.0123168580131132,True,0.6030617126203477,True,True,True,0.9787444389520514
DARP,Grizzle Growth ETF,2021-12-17,equity,systematic_or_rules_based,factor_or_style,not_sector_specific,0.2053590913507306,0.13096352016616053,0.07439557118457008,1.1890937232418777,1.1595874029159816,0.029506320325896063,0.6784640594333726,0.5346237830590211,0.14384027637435148,2.008548049389139,1.5035692183527969,0.5049788310363419,0.05869474629539558,0.06345578629123144,0.5654261775262451,0.4986626168274484,0.03318754603867826,0.031643028444828795,0.0015445175938494649,0.03318754603867826,0.031643028444828795,True,0.9930700119812037,0.15821486648419847,0.11073609231979144,1.4287560918015285,0.4777734811133785,0.08672906846363149,0.09714416049659455,0.8927872557679041,True,0.5359688360336244,True,True,True,0.976767177459219
DFIV,Dimensional International Value ETF,2021-09-13,equity,active_identified,factor_or_style,not_sector_specific,0.16102759879652795,0.13188138803344907,0.029146210763078884,1.438683983942888,1.1710746419338367,0.2676093420090513,0.6335316595110506,0.5383707348127272,0.09516092469832338,2.375811337746502,1.55545784437668,0.820353493369822,0.07789608372650876,0.06402671167509051,0.540956742359936,0.5031398036813208,0.042138411695289,0.032214387142565575,0.009924024552723426,0.042138411695289,0.032214387142565575,True,0.7373324286840945,0.11790865943886342,0.07416677312899415,1.5897773957860002,0.5316689959606582,0.08984489813323226,0.09454118416929166,0.9503255001793725,True,0.6394518956066277,True,True,True,0.9733069698467622
