product_id,identity_status,identity_evidence,identity_evidence_url,identity_validation_note,validated_at
SEC-S000003038-C000008305,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/934563/000119312506120749/dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:13+00:00
SEC-S000003042-C000008309,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465906020486/a06-7758_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:17+00:00
SEC-S000003047-C000008314,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465906020486/a06-7758_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:11+00:00
SEC-S000003050-C000008317,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465906020486/a06-7758_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:15+00:00
SEC-S000003051-C000008318,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465906020486/a06-7758_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:06+00:00
SEC-S000011251-C000031008,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/934563/000119312506120749/dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:18+00:00
SEC-S000013107-C000035323,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465907022284/a07-7923_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:19+00:00
SEC-S000013126-C000035342,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465907022284/a07-7923_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:21+00:00
SEC-S000013792-C000037810,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1209466/000110465910050409/a10-14262_2nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:17+00:00
SEC-S000020614-C000057586,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465910050411/a10-14262_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:58+00:00
