request_symbol,name,asset_class_refined,primary_strategy,management_style,start_date,end_date,initial_leverage,terminal_wealth,spy_terminal_wealth,ruined,first_non_positive_date,minimum_equity,minimum_margin_ratio,illustrative_25pct_maintenance_breach,terminal_debt_index,cagr,sortino,calmar,martin,direction,breadth,dbf_signed,dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_cagr,beat_spy_cagr,spy_sortino,beat_spy_sortino,spy_calmar,beat_spy_calmar,spy_martin,beat_spy_martin,beat_spy_cagr_and_martin,spy_rwm_score,beat_spy_rwm_score,beat_spy_cagr_and_rwm,beat_spy_all_four
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-08-28,1.0,2.30343697559411,2.331232458693085,False,,1.0,1.0,False,1.3178906752209454,0.1555456709189127,1.3902781105630644,0.6587156125336529,2.0483251004420975,0.07681583419584694,0.5139848814215406,0.039482177430449114,0.039482177430449114,0.9082632245758298,0.11847112275627647,0.08552319079398323,1.3852514348027718,0.15794970072978742,False,1.4138370795748494,False,0.644787696833904,True,2.0049518347025423,True,False,1.3756759642370882,True,False,False
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-08-28,1.25,2.549823550687401,2.331232458693085,False,,0.9999890277777778,0.7994690689637963,False,1.3178906752209454,0.1760721186348677,1.335775592146389,0.6259281101485759,1.91112846749621,0.07231304184636785,0.5096366701389332,0.036853377854200245,0.036853377854200245,1.1123801356358558,0.13833899955322337,0.10196417587917221,1.356741211905203,0.15794970072978742,True,1.4138370795748494,False,0.644787696833904,False,2.0049518347025423,False,False,1.3756759642370882,False,False,False
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-08-28,1.5,2.7962101257806924,2.331232458693085,False,,0.9999780555555555,0.6657817816063273,False,1.3178906752209454,0.19501922384734027,1.3038254123967845,0.6066509570503964,1.8283350046198745,0.06920795923944453,0.5053556195282493,0.034974631117735314,0.034974631117735314,1.3164970466958819,0.15667820550007572,0.11656604549397542,1.3441153024975308,0.15794970072978742,True,1.4138370795748494,False,0.644787696833904,False,2.0049518347025423,False,False,1.3756759642370882,False,False,False
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-08-28,1.75,3.0425967008739834,2.331232458693085,False,,0.9999670833333333,0.5702908620652779,False,1.3178906752209454,0.21263280172903976,1.2845660515503878,0.5948904789503426,1.775867618645812,0.06691971365149188,0.5011645629966024,0.03353778904800769,0.03353778904800769,1.520613957755908,0.17372666903110479,0.12961989659821915,1.3402777936909078,0.15794970072978742,True,1.4138370795748494,False,0.644787696833904,False,2.0049518347025423,False,False,1.3756759642370882,False,False,False
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-08-28,2.0,3.288983275967275,2.331232458693085,False,,0.999956111111111,0.4986726724094909,False,1.3178906752209454,0.22910407905992347,1.2730987888170142,0.5877241786913635,1.7417581000433788,0.0651540484088342,0.4970763559791337,0.032386536960351375,0.032386536960351375,1.7247308688159344,0.18966948160280794,0.1413600309727262,1.3417475951133775,0.15794970072978742,True,1.4138370795748494,False,0.644787696833904,False,2.0049518347025423,False,False,1.3756759642370882,False,False,False
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-08-28,1.0,1.806718439769298,1.9136187189430112,False,,0.8620173883626303,1.0,False,1.29144437589366,0.14025827360785126,1.311825791965491,0.69967507679021,2.399362673331648,0.07275636472168136,0.5051081022866172,0.03674982931384145,0.03674982931384145,0.49829085090249303,0.09386633839818548,0.06544375206976424,1.4343055743216286,0.15489599836489765,False,1.347648964834308,False,0.7010503009432675,False,2.0964586875378495,True,False,1.3069694502085674,True,False,False
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-08-28,1.25,1.9355369557382076,1.9136187189430112,False,,0.8232909582439587,0.764059722561067,False,1.29144437589366,0.15781825298537777,1.2228825153527125,0.6320086559834915,2.1405783531826152,0.06609639212699689,0.4983074591764045,0.03293632522153113,0.03293632522153113,0.6051185666409229,0.11071188189357817,0.08129654680122264,1.3618276083027077,0.15489599836489765,True,1.347648964834308,False,0.7010503009432675,False,2.0964586875378495,True,True,1.3069694502085674,True,True,False
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-08-28,1.5,2.064355471707117,1.9136187189430112,False,,0.7845645281252868,0.606766204268445,False,1.29144437589366,0.17449112564251856,1.1674134113130556,0.5869855687371719,1.9723059317965788,0.0613655082656053,0.491232101544309,0.030144707587647958,0.030144707587647958,0.7119462823793525,0.1267064110157743,0.09650731014840801,1.3129203458362522,0.15489599836489765,True,1.347648964834308,False,0.7010503009432675,False,2.0964586875378495,False,False,1.3069694502085674,True,True,False
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-08-28,1.75,2.193173987676026,1.9136187189430112,False,,0.7458380980066148,0.4944136912022863,False,1.29144437589366,0.19037309547831605,1.1312535328168007,0.5546680448009798,1.8538819423589583,0.05774479956702151,0.48387741279070595,0.027941404216608248,0.027941404216608248,0.818773998117782,0.14194221556369113,0.11112004291762431,1.2773772564947259,0.15489599836489765,True,1.347648964834308,False,0.7010503009432675,False,2.0964586875378495,False,False,1.3069694502085674,False,False,False
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-08-28,2.0,2.321992503644936,1.9136187189430112,False,,0.7071116678879432,0.4101493064026674,False,1.29144437589366,0.20554499775133683,1.1074285294117043,0.5302347757440922,1.7658054097079086,0.05482256209573557,0.47623769957226486,0.026108570857130753,0.026108570857130753,0.9256017138562118,0.15649684197601577,0.1251760018734225,1.2502144151741224,0.15489599836489765,True,1.347648964834308,False,0.7010503009432675,False,2.0964586875378495,False,False,1.3069694502085674,False,False,False
